input,output,instruction,is_dismissal,predicted_line,predicted_length,predicted_shot
play type description is no run batting team is Australia bowling team is England total runs on delivery is 0 bowler name is Moeen Ali batsman name is Aaron Finch over runs is 6 dismissal is False dismissal type is  dismissal text is 6.97 innings wickets is 0  ,"outside off, and tweaking back into a back-foot push
","You are an expert cricket commentator. Provide vivid, accurate, and engaging ball-by-ball commentary for cricket matches. Describe the action with technical precision, including details about bowling technique, batting shots, field placements, and match context. Use appropriate cricket terminology and maintain the exciting, dynamic tone that cricket fans expect. Your commentary should be concise yet descriptive, capturing both the action and the atmosphere of the game.",False,Outside Off,Full,Unknown
play type description is run batting team is Australia bowling team is England total runs on delivery is 1 bowler name is Moeen Ali batsman name is Aaron Finch over runs is 6 dismissal is False dismissal type is  dismissal text is 6.96 innings wickets is 0  ,"onto the front foot this time, and pushed to mid-off
","You are an expert cricket commentator. Provide vivid, accurate, and engaging ball-by-ball commentary for cricket matches. Describe the action with technical precision, including details about bowling technique, batting shots, field placements, and match context. Use appropriate cricket terminology and maintain the exciting, dynamic tone that cricket fans expect. Your commentary should be concise yet descriptive, capturing both the action and the atmosphere of the game.",False,Off Stump,Full,Unknown
play type description is no run batting team is Australia bowling team is England total runs on delivery is 0 bowler name is Moeen Ali batsman name is Aaron Finch over runs is 6 dismissal is False dismissal type is  dismissal text is 7.06 innings wickets is 0  ,"on the back foot, defended back down the pitch
","You are an expert cricket commentator. Provide vivid, accurate, and engaging ball-by-ball commentary for cricket matches. Describe the action with technical precision, including details about bowling technique, batting shots, field placements, and match context. Use appropriate cricket terminology and maintain the exciting, dynamic tone that cricket fans expect. Your commentary should be concise yet descriptive, capturing both the action and the atmosphere of the game.",False,Off Stump,Full,Defend
play type description is run batting team is Australia bowling team is England total runs on delivery is 1 bowler name is Liam Plunkett batsman name is Aaron Finch over runs is 5 dismissal is False dismissal type is  dismissal text is 7.04 innings wickets is 0  ,"flicked to the leg side
","You are an expert cricket commentator. Provide vivid, accurate, and engaging ball-by-ball commentary for cricket matches. Describe the action with technical precision, including details about bowling technique, batting shots, field placements, and match context. Use appropriate cricket terminology and maintain the exciting, dynamic tone that cricket fans expect. Your commentary should be concise yet descriptive, capturing both the action and the atmosphere of the game.",False,Down Leg,Full,Flick
play type description is run batting team is Australia bowling team is England total runs on delivery is 1 bowler name is Liam Plunkett batsman name is Aaron Finch over runs is 5 dismissal is False dismissal type is  dismissal text is 7.02 innings wickets is 0  ,"slower ball, on the pads, tucked out to deep square leg
","You are an expert cricket commentator. Provide vivid, accurate, and engaging ball-by-ball commentary for cricket matches. Describe the action with technical precision, including details about bowling technique, batting shots, field placements, and match context. Use appropriate cricket terminology and maintain the exciting, dynamic tone that cricket fans expect. Your commentary should be concise yet descriptive, capturing both the action and the atmosphere of the game.",False,Down Leg,Full,Unknown
play type description is run batting team is Australia bowling team is England total runs on delivery is 1 bowler name is Moeen Ali batsman name is Aaron Finch over runs is 11 dismissal is False dismissal type is  dismissal text is 7.21 innings wickets is 0  ,"pushed to cover
","You are an expert cricket commentator. Provide vivid, accurate, and engaging ball-by-ball commentary for cricket matches. Describe the action with technical precision, including details about bowling technique, batting shots, field placements, and match context. Use appropriate cricket terminology and maintain the exciting, dynamic tone that cricket fans expect. Your commentary should be concise yet descriptive, capturing both the action and the atmosphere of the game.",False,Off Stump,Full,Unknown
play type description is run batting team is Australia bowling team is England total runs on delivery is 1 bowler name is Moeen Ali batsman name is Aaron Finch over runs is 11 dismissal is False dismissal type is  dismissal text is 7.18 innings wickets is 0  ,"flicked off the toes, out to backward square
","You are an expert cricket commentator. Provide vivid, accurate, and engaging ball-by-ball commentary for cricket matches. Describe the action with technical precision, including details about bowling technique, batting shots, field placements, and match context. Use appropriate cricket terminology and maintain the exciting, dynamic tone that cricket fans expect. Your commentary should be concise yet descriptive, capturing both the action and the atmosphere of the game.",False,Off Stump,Full,Flick
play type description is run batting team is Australia bowling team is England total runs on delivery is 1 bowler name is Liam Plunkett batsman name is Aaron Finch over runs is 5 dismissal is False dismissal type is  dismissal text is 7.15 innings wickets is 0  ,"good length outside off, pushed to cover for a quick single. There's a direct hit from Morgan but Stoinis well home
","You are an expert cricket commentator. Provide vivid, accurate, and engaging ball-by-ball commentary for cricket matches. Describe the action with technical precision, including details about bowling technique, batting shots, field placements, and match context. Use appropriate cricket terminology and maintain the exciting, dynamic tone that cricket fans expect. Your commentary should be concise yet descriptive, capturing both the action and the atmosphere of the game.",False,Outside Off,Good Length,Loft/Smash
play type description is run batting team is Australia bowling team is England total runs on delivery is 1 bowler name is Liam Plunkett batsman name is Aaron Finch over runs is 5 dismissal is False dismissal type is  dismissal text is 7.13 innings wickets is 0  ,"that's a neat pull off the hip down to long leg
","You are an expert cricket commentator. Provide vivid, accurate, and engaging ball-by-ball commentary for cricket matches. Describe the action with technical precision, including details about bowling technique, batting shots, field placements, and match context. Use appropriate cricket terminology and maintain the exciting, dynamic tone that cricket fans expect. Your commentary should be concise yet descriptive, capturing both the action and the atmosphere of the game.",False,Down Leg,Short,Pull
play type description is no run batting team is Australia bowling team is England total runs on delivery is 0 bowler name is Liam Plunkett batsman name is Aaron Finch over runs is 5 dismissal is False dismissal type is  dismissal text is 7.05 innings wickets is 0  ,"very full outside off, sweetly driven square of the wicket but well stopped by Roy at point
","You are an expert cricket commentator. Provide vivid, accurate, and engaging ball-by-ball commentary for cricket matches. Describe the action with technical precision, including details about bowling technique, batting shots, field placements, and match context. Use appropriate cricket terminology and maintain the exciting, dynamic tone that cricket fans expect. Your commentary should be concise yet descriptive, capturing both the action and the atmosphere of the game.",False,Outside Off,Full,Drive
play type description is run batting team is Australia bowling team is England total runs on delivery is 1 bowler name is Adil Rashid batsman name is Aaron Finch over runs is 3 dismissal is False dismissal type is  dismissal text is 6.97 innings wickets is 0  ,"outside off this time, still a touch short, cut to deep cover
","You are an expert cricket commentator. Provide vivid, accurate, and engaging ball-by-ball commentary for cricket matches. Describe the action with technical precision, including details about bowling technique, batting shots, field placements, and match context. Use appropriate cricket terminology and maintain the exciting, dynamic tone that cricket fans expect. Your commentary should be concise yet descriptive, capturing both the action and the atmosphere of the game.",False,Outside Off,Short,Cut
play type description is no run batting team is Australia bowling team is England total runs on delivery is 0 bowler name is Adil Rashid batsman name is Aaron Finch over runs is 3 dismissal is False dismissal type is  dismissal text is 6.9 innings wickets is 0  ,"goes for a square cut to a delivery that skids on and beats the bottom edge
","You are an expert cricket commentator. Provide vivid, accurate, and engaging ball-by-ball commentary for cricket matches. Describe the action with technical precision, including details about bowling technique, batting shots, field placements, and match context. Use appropriate cricket terminology and maintain the exciting, dynamic tone that cricket fans expect. Your commentary should be concise yet descriptive, capturing both the action and the atmosphere of the game.",False,Off Stump,Full,Cut
play type description is no run batting team is Australia bowling team is England total runs on delivery is 0 bowler name is Adil Rashid batsman name is Aaron Finch over runs is 3 dismissal is False dismissal type is  dismissal text is 6.84 innings wickets is 0  ,"<b>just short of the bowler</b> as Finch gets a leading edge, looking to work into the leg side, turns the face of his bat, loops down the on-side of the pitch and Rashid can't quite reach it. Good effort
","You are an expert cricket commentator. Provide vivid, accurate, and engaging ball-by-ball commentary for cricket matches. Describe the action with technical precision, including details about bowling technique, batting shots, field placements, and match context. Use appropriate cricket terminology and maintain the exciting, dynamic tone that cricket fans expect. Your commentary should be concise yet descriptive, capturing both the action and the atmosphere of the game.",False,Down Leg,Full,Unknown
play type description is leg bye batting team is Australia bowling team is England total runs on delivery is 2 bowler name is Liam Plunkett batsman name is Aaron Finch over runs is 13 dismissal is False dismissal type is  dismissal text is 6.82 innings wickets is 2  ,"gets inside the line and nudges this off his hip to deep square and makes it into a second
","You are an expert cricket commentator. Provide vivid, accurate, and engaging ball-by-ball commentary for cricket matches. Describe the action with technical precision, including details about bowling technique, batting shots, field placements, and match context. Use appropriate cricket terminology and maintain the exciting, dynamic tone that cricket fans expect. Your commentary should be concise yet descriptive, capturing both the action and the atmosphere of the game.",False,Off Stump,Full,Unknown
play type description is six batting team is Australia bowling team is England total runs on delivery is 6 bowler name is Liam Plunkett batsman name is Aaron Finch over runs is 13 dismissal is False dismissal type is  dismissal text is 7.06 innings wickets is 0  ,"lovely wrist work from Finch, whips a back-of-a-length delivery behind square on the leg side and he's timed it perfectly
","You are an expert cricket commentator. Provide vivid, accurate, and engaging ball-by-ball commentary for cricket matches. Describe the action with technical precision, including details about bowling technique, batting shots, field placements, and match context. Use appropriate cricket terminology and maintain the exciting, dynamic tone that cricket fans expect. Your commentary should be concise yet descriptive, capturing both the action and the atmosphere of the game.",False,Down Leg,Good Length,Unknown
play type description is no run batting team is Australia bowling team is England total runs on delivery is 0 bowler name is Liam Plunkett batsman name is Aaron Finch over runs is 13 dismissal is False dismissal type is  dismissal text is 7.0 innings wickets is 0  ,"back of a length outside off, he adjust the line, defended to cover
","You are an expert cricket commentator. Provide vivid, accurate, and engaging ball-by-ball commentary for cricket matches. Describe the action with technical precision, including details about bowling technique, batting shots, field placements, and match context. Use appropriate cricket terminology and maintain the exciting, dynamic tone that cricket fans expect. Your commentary should be concise yet descriptive, capturing both the action and the atmosphere of the game.",False,Outside Off,Short,Defend
play type description is leg bye batting team is Australia bowling team is England total runs on delivery is 4 bowler name is Liam Plunkett batsman name is Aaron Finch over runs is 13 dismissal is False dismissal type is  dismissal text is 7.15 innings wickets is 4  ,"angled down the leg side, that's a poor delivery, doesn't make contact with the bat but deflects off the thigh guard to fine leg
","You are an expert cricket commentator. Provide vivid, accurate, and engaging ball-by-ball commentary for cricket matches. Describe the action with technical precision, including details about bowling technique, batting shots, field placements, and match context. Use appropriate cricket terminology and maintain the exciting, dynamic tone that cricket fans expect. Your commentary should be concise yet descriptive, capturing both the action and the atmosphere of the game.",False,Down Leg,Full,Unknown
play type description is six batting team is Australia bowling team is England total runs on delivery is 6 bowler name is Adil Rashid batsman name is Aaron Finch over runs is 11 dismissal is False dismissal type is  dismissal text is 7.41 innings wickets is 0  ,"that's muscled down the ground over long-on...Finch stayed in his crease and just levered through the line from a strong base
","You are an expert cricket commentator. Provide vivid, accurate, and engaging ball-by-ball commentary for cricket matches. Describe the action with technical precision, including details about bowling technique, batting shots, field placements, and match context. Use appropriate cricket terminology and maintain the exciting, dynamic tone that cricket fans expect. Your commentary should be concise yet descriptive, capturing both the action and the atmosphere of the game.",False,Off Stump,Full,Loft/Smash
play type description is out batting team is Australia bowling team is England total runs on delivery is 0 bowler name is Adil Rashid batsman name is Aaron Finch over runs is 11 dismissal is True dismissal type is bowled dismissal text is 7.35 innings wickets is 0  ,"<B>done him this time!</b> He tosses it up much slower, Finch goes for another big shot down the ground and is completely done in the air. Lovely stuff from the leggie, even if he does have the cushion of a mountain of runs
","You are an expert cricket commentator. Provide vivid, accurate, and engaging ball-by-ball commentary for cricket matches. Describe the action with technical precision, including details about bowling technique, batting shots, field placements, and match context. Use appropriate cricket terminology and maintain the exciting, dynamic tone that cricket fans expect. Your commentary should be concise yet descriptive, capturing both the action and the atmosphere of the game.",True,Off Stump,Full,Unknown
play type description is no run batting team is Australia bowling team is India total runs on delivery is 0 bowler name is Jasprit Bumrah batsman name is Aaron Finch over runs is 7 dismissal is False dismissal type is  dismissal text is 6.85 innings wickets is 0  ,"leans into a fine-looking drive, but mid-off is there to play party pooper
","You are an expert cricket commentator. Provide vivid, accurate, and engaging ball-by-ball commentary for cricket matches. Describe the action with technical precision, including details about bowling technique, batting shots, field placements, and match context. Use appropriate cricket terminology and maintain the exciting, dynamic tone that cricket fans expect. Your commentary should be concise yet descriptive, capturing both the action and the atmosphere of the game.",False,Off Stump,Full,Drive
play type description is no run batting team is Australia bowling team is India total runs on delivery is 0 bowler name is Jasprit Bumrah batsman name is Aaron Finch over runs is 7 dismissal is False dismissal type is  dismissal text is 6.0 innings wickets is 0  ,"punches towards cover
","You are an expert cricket commentator. Provide vivid, accurate, and engaging ball-by-ball commentary for cricket matches. Describe the action with technical precision, including details about bowling technique, batting shots, field placements, and match context. Use appropriate cricket terminology and maintain the exciting, dynamic tone that cricket fans expect. Your commentary should be concise yet descriptive, capturing both the action and the atmosphere of the game.",False,Off Stump,Full,Unknown
play type description is four batting team is Australia bowling team is India total runs on delivery is 4 bowler name is Jasprit Bumrah batsman name is Aaron Finch over runs is 7 dismissal is False dismissal type is  dismissal text is 8.0 innings wickets is 0  ,"width - so much that Finch has to reach out to meet it and even then he makes contact with only the bottom of the bat. Still enough strength in the shot to send the ball scurrying to the cover boundary
","You are an expert cricket commentator. Provide vivid, accurate, and engaging ball-by-ball commentary for cricket matches. Describe the action with technical precision, including details about bowling technique, batting shots, field placements, and match context. Use appropriate cricket terminology and maintain the exciting, dynamic tone that cricket fans expect. Your commentary should be concise yet descriptive, capturing both the action and the atmosphere of the game.",False,Unknown,Full,Unknown
play type description is run batting team is Australia bowling team is India total runs on delivery is 1 bowler name is Jasprit Bumrah batsman name is Aaron Finch over runs is 7 dismissal is False dismissal type is  dismissal text is 7.8 innings wickets is 0  ,"slip was removed after that boundary, and predictably out comes the outside edge. Wouldn't have mattered though because the ball wanders out well wide of that position to third man
","You are an expert cricket commentator. Provide vivid, accurate, and engaging ball-by-ball commentary for cricket matches. Describe the action with technical precision, including details about bowling technique, batting shots, field placements, and match context. Use appropriate cricket terminology and maintain the exciting, dynamic tone that cricket fans expect. Your commentary should be concise yet descriptive, capturing both the action and the atmosphere of the game.",False,Outside Off,Full,Unknown
